NOMBRE,CODIGO_LOCALIDAD
SOCORRO III SEC,18
MACONDO DOS,18
QUIRIGUA,10
CIUDAD JARDEIN DEL NORTE MANZANA 42,11
ENGATIVA CENTRO BARRIO: LA TORTIGUA,10
BARRIO SABANAS DEL DORADO II (CALLE 62 / CARRERA 115C),10
BARRIO PUESTA DEL SOL,10
"PREDIO ""SAN JOSE"" BARRIO BRASILIA 2° SECTOR.",07
PARCELACION SAN PEDRO,05
VILLA ANITA SUR,05
VILLA ANNI BOSA - NARANJOS,07
EL CAUCE,07
ESPINO III SECTOR,19
VILLA DE LA TORRE 2,08
BARRIO SAN AGUSTIN,18
UVAL II SECTOR,05
LOS LAURELES GRANCOLOMBIANO II SECTOR,07
LA LIBERTAD SEGUNDO SECTOR,07
EL PORVENIR PARCELAS 17A - 17B,07
BARRIO EL REFUGIO(SECTOR SANTA LIBRADA),05
BRASIL II SECTOR,07
BARRIO EL COMITE,08
VILLA ANITA,02
BOSQUE CALDERON TEJADA,02
CASA BLANCA SECTOR BELLA VISTA,11
TABERIN,11
LA PALMA,11
ANTONIO MORALES,18
CASAVIANCA,19
EL CORTIJO,05
MORALVA,04
URBANIZACION ALTAMIRA CHIQUITA,04
BARRIO EL MIRADOR SUR 1 Y 2,18
ATENAS SUR ORIENTAL IV SECTOR,04
EL MIRADOR DE MARROCOS,18
BARRIO MIRADOR II,18
NUEVO TEJAR,16
VILLAS DEL RECUERDO,18
LOTE 95A ANEXO SORATAMA,01
SAN MARTIN,18
EL JORDAN LA ESPERANZA,11
SANTA CECILIA II SECTOR,11
JAIME BERMEO,11
BARRIO SAN JOSE,10
LOS ARRAYANES BARRIO PALERMO SUR SECTOR SANA FONSECA,18
SAN IGNACIO,18
GOVAROVA II,18
LA MARQUEZA,18
BARRIO LA PAZ,18
ARBORIZADORA BAJA,19
DOMINGO LAIN II SECTOR Y CONDOMINIO DEL BOSQUE,19
LA ESCALA 3ER SECTOR,19
BILBAO PRIMER SECTOR SECCION A Y B,11
LA AGUADITA,11
LA PRIMAVERA,10
LA ESTANZUELA SEGUNDO SECTOR,07
LA PRIMAVERA,07
ANDALUCIA II,07
ALASKA,05
LA RIVIERA ENGATIVA,10
PRIMAVERA 2,19
SECTOR JAVA,11
LOS NARANJOS EL OASIS,11
LA ESMERALDA,05
BARRIO SANTA INES,04
BRASIL II SECTOR III ETAPA,07
BOSQUES DE BELLAVISTA,02
LA CAPILLA SAN ISIDRO,01
VILLA CAROLINA III SECTOR,07
"MARCO FIDEL SUAREZ IV ""PARTE MEDIA""",18
LA ESPERANZA NOR-ORIENTAL,02
VILLA NATALY 20 DE JULIO II SECTOR,04
BOSQUE CALDERON TEJADA,02
SAN MARTIN DE PORRES III Y IV,02
LAS DELICIAS DEL CARMEN II SECTOR,01
"MARCO FIDEL SUAREZ IV ""PARTE ALTA""",18
"MARCO FIDEL SUAREZ IV ""PARTE BAJA""",18
LOS ALPES LA ESPERANZA,04
BRISAS DE BELLA FLOR,19
SAN JOSE LA HUERTA,07
VILLAS DEL PROGRESO I,19
SAN LUIS ALTOS DEL CABO,02
ALTOS DE YOMASITA,05
MEISSEN  I,19
VILLA HELENA EL PORTAL,19
BELEN EL EDEN II-A,09
LA VEGUITA III,07
UNIR II,10
PORTAL DE CALI,07
CIUDAD JARDIN NORTE B,11
SAN BENITO BELLO ,07
RESERVA DE CANTALEJO,11
SALITRE SUBA 2A,11
LA PORTADA II SECTOR,07
EL RUBI SAN BERNARDINO,07
VILLA ANGELICA- CANADA GUIRA,04
SALITRE SUBA 2-B,11
CIUDAD JARDIN NORTE C,11
TUNA BAJA LA FORTUNA,11
PRINCIPE DE BOCHICA ALTO,18
GOVAROBA II,18
BRASIL SECTOR EL LAGO,07
EL ANHELO I,07
LOS SAUCES III SECTOR,07
BOSQUES DE SAN ANTONIO,01
RENACER DEL SAUCO,02
EL EDEN SECTOR EL PARAISO,19
MIRADOR DEL NORTE,01
EL VIRREY (ULTIMA ETAPA),05
ESCOCIA VII,07
ALQUERIA LA FRAGUA II SECTOR,08
RANCHO CHICO,11
ANDALUCIA,07
BARRIO TENERIFE,05
VILLA ALEMANIA,05
URBANIZACION LAS GUACAMAYAS,04
VILLA BEGONIA,04
BARRIO SAN ISIDRO II NUEVA PARTE,19
EL CONSUELO,19
EL PROGRESO II,08
EL RINCON DE LA IGUALDAD,08
SANTA CATALINA SECTOR 1 Y 2,08
"SAN PEDRO 2O. SECTOR ""A""",07
UVAL I SECTOR,05
LOS TRES LAURELES,05
"SAN PEDRO 2O. SECTOR ""C""",07
LA INDEPENDENCIA,07
BRAZUELOS SECTOR EL PARAISO,05
LA PORTADA,07
NUEVO PORVENIR,05
LA PEÑA,03
